ID,forests,bec,cum,min,var,biomass,height,cover
2636,220,7,6242.61572265625,0,687.9547119140625,22937,31453,7461
2637,220,7,8788.4453125,223.4943084716797,314.81390380859375,12563,18876,8875
2638,220,7,4852.01708984375,0,964.9229736328125,6902,12501,9128
2639,220,7,5701.57958984375,0,674.1258544921875,27595,22008,8743
2640,220,7,5340.89599609375,0,722.66534423828125,9447,12614,9958
2641,220,7,6382.232421875,0,613.7601318359375,22937,31453,7461
2642,220,7,6026.28662109375,0,702.835205078125,22937,31453,7461
2643,220,7,7444.54443359375,0,502.9259033203125,32591,23708,9412
2644,220,7,4313.12939453125,0,1040.8016357421875,3540,12403,2311
2645,220,7,5832.8759765625,0,806.05914306640625,10653,14808,9531
2646,220,7,8097.62548828125,239.18836975097656,299.0927734375,9700,13262,9243
2647,220,7,6784.025390625,0,621.76702880859375,4625,13432,4960
2648,220,7,8773.6259765625,151.05926513671875,267.54461669921875,14654,17554,9925
2649,220,7,5987.2763671875,0,737.79461669921875,8855,14605,8386
2650,220,7,5786.29345703125,0,765.451904296875,22937,31453,7461
2651,220,7,5215.53173828125,0,815.18438720703125,14084,16595,9616
2652,220,7,3938.927978515625,0,1050.45654296875,3868,9866,5471
2653,220,7,6735.09033203125,11.930489540100098,533.962158203125,22937,31453,7461
2654,220,7,5578.4541015625,0,718.6787109375,8279,13565,5835
2655,220,7,8768.681640625,151.73793029785156,241.25653076171875,6345,13743,6560
2656,220,7,8011.11376953125,33.58698654174805,358.8043212890625,7373,12462,9468
2657,220,7,5157.0546875,0,745.72833251953125,16925,26193,6528
2658,220,7,4697.4560546875,0,953.7738037109375,15286,19550,9414
2659,220,7,5098.861328125,0,942.72442626953125,36084,26786,9977
2660,220,7,6368.10888671875,0,632.897705078125,4393,9775,7592
2661,220,7,5381.95458984375,0,740.368408203125,24876,20722,9772
2662,220,7,4656.68212890625,0,920.25506591796875,16326,16844,6850
2663,220,7,8093.2568359375,130.86044311523438,408.7990417480469,2073,7002,5566
2664,220,7,5592.26171875,0,880.1251220703125,12296,14468,8514
2665,220,7,8808.7265625,536.67120361328125,121.8614501953125,26949,23096,9518
2666,220,7,4820.21630859375,0,1016.81103515625,7222,11643,9445
2667,220,7,9377.5078125,411.59521484375,150.56419372558594,7373,12462,9468
2668,220,7,6298.12548828125,0,732.19879150390625,7373,12462,9468
2669,220,7,4570.2802734375,0,906.8924560546875,27595,22008,8743
2670,220,7,5249.5703125,0,772.06787109375,2288,7292,6187
2671,220,7,4153.61328125,0,1123.661376953125,3592,10457,7494
2672,220,7,4267.10546875,0,974.3216552734375,12100,14877,7590
2673,220,7,5046.98486328125,0,841.2642822265625,16925,26193,6528
2674,220,7,5740.01904296875,0,572.10491943359375,11304,21322,5779
2675,220,7,6163.74462890625,2.0897529125213623,627.5789794921875,22566,19549,9889
2676,220,7,4041.4189453125,0,1106.5888671875,9214,12609,9930
2677,220,7,4735.23876953125,0,1006.7900390625,17081,18048,9953
2678,220,7,6520.8818359375,0,633.45745849609375,12296,14468,8514
2679,220,7,4880.02978515625,0,894.09710693359375,6820,12750,7471
2680,220,7,5070.962890625,0,918.0391845703125,6820,12750,7471
2681,220,7,4505.0888671875,0,1008.1394653320313,22937,31453,7461
2682,220,7,5994.2626953125,0,704.26824951171875,1384,6374,2658
2683,220,7,7379.86279296875,72.04191589355469,447.8995056152344,13190,16095,9620
2684,220,7,6361.896484375,0,599.52740478515625,7864,12182,7700
2685,220,7,5771.9228515625,0,744.97137451171875,1279,5196,5572
2686,220,7,8504.1767578125,5.410811424255371,381.1376647949219,15591,16460,8876
2687,220,7,6638.5146484375,1.8691359758377075,438.957763671875,24413,28366,7797
